"Date","Video Views","Profile Views","Likes","Comments","Shares"
"October 28","23199","159","2111","17","109"
"October 29","18650","133","1558","18","91"
"October 30","20955","125","1771","11","59"
"October 31","24468","133","2082","19","73"
"November 1","24917","166","2162","10","97"
"November 2","26729","158","2418","2","83"
"November 3","24524","151","2211","37","79"
"November 4","24015","141","2163","15","98"
"November 5","18348","129","1589","3","62"
"November 6","15258","102","1233","14","59"
"November 7","15476","101","1270","4","57"
"November 8","26254","172","2431","25","114"
"November 9","23197","163","2222","8","67"
"November 10","23776","121","2433","-9","105"
"November 11","33120","178","3318","10","105"
"November 12","28431","175","2689","16","73"
"November 13","26498","186","2382","12","88"
"November 14","27487","166","2430","8","81"
"November 15","23972","137","2144","2","90"
"November 16","24087","158","1978","16","79"
"November 17","24313","133","1914","6","47"
"November 18","30829","172","2432","16","96"
"November 19","27317","140","2203","20","55"
"November 20","21229","113","1801","11","75"
"November 21","29922","156","2672","14","104"
"November 22","18134","84","1555","4","59"
"November 23","11489","73","892","0","39"
"November 24","10412","55","882","3","34"
"November 25","15908","87","1573","2","58"
"November 26","16911","103","1693","3","82"
"November 27","19747","90","1757","2","82"
"November 28","44248","121","1566","8","46"
"November 29","27339","98","1119","9","60"
"November 30","18261","97","1004","3","46"
"December 1","19175","89","930","6","38"
"December 2","13526","72","504","-10","23"
"December 3","15007","49","592","1","17"
"December 4","9296","49","542","-1","24"
"December 5","10218","42","499","6","21"
"December 6","10449","54","495","5","41"
"December 7","13105","45","622","1","20"
"December 8","9725","48","470","2","26"
"December 9","8704","42","417","5","23"
